Time,0,1,2,3,4,5
0,0.3,0.03,0.15,0.04,0.0,0.0
1,0.33,0.1,0.24,0.06,0.0,0.0
2,0.36,0.27,0.36,0.08,0.0,0.02
3,0.36,0.31,0.42,0.09,0.02,0.03
4,0.36,0.35,0.54,0.14,0.04,0.06
5,0.36,0.39,0.69,0.2,0.06,0.11
6,0.36,0.41,0.74,0.24,0.1,0.12
7,0.35,0.46,0.78,0.3,0.17,0.16
8,0.35,0.55,0.81,0.37,0.27,0.22
9,0.34,0.5,0.82,0.36,0.28,0.21
10,0.35,0.54,0.82,0.35,0.31,0.22
11,0.36,0.65,0.83,0.34,0.38,0.24
12,0.33,0.57,0.77,0.31,0.28,0.19
13,0.32,0.51,0.69,0.29,0.2,0.15
14,0.35,0.5,0.63,0.28,0.14,0.12
15,0.3,0.55,0.62,0.31,0.2,0.16
16,0.3,0.63,0.62,0.34,0.29,0.21
17,0.37,0.7,0.62,0.37,0.38,0.26
18,0.43,0.78,0.67,0.41,0.4,0.28
19,0.51,0.86,0.73,0.44,0.42,0.3
20,0.6,0.93,0.8,0.46,0.44,0.32
21,0.69,0.96,0.87,0.47,0.46,0.34
22,0.79,0.97,0.89,0.48,0.48,0.35
23,0.85,0.98,0.9,0.48,0.48,0.36
24,0.87,0.98,0.89,0.48,0.48,0.35
25,0.89,0.98,0.86,0.49,0.45,0.34
26,0.9,0.98,0.82,0.49,0.43,0.33
27,0.86,0.98,0.73,0.48,0.4,0.31
28,0.77,0.96,0.64,0.47,0.38,0.28
29,0.72,0.93,0.58,0.46,0.34,0.24
30,0.62,0.9,0.58,0.44,0.28,0.2
31,0.57,0.85,0.59,0.42,0.22,0.16
32,0.54,0.79,0.62,0.38,0.16,0.12
33,0.39,0.72,0.6,0.35,0.12,0.09
34,0.29,0.66,0.59,0.33,0.09,0.08
35,0.26,0.61,0.6,0.31,0.07,0.09
36,0.15,0.53,0.6,0.29,0.1,0.1
37,0.1,0.48,0.62,0.29,0.14,0.12
38,0.1,0.42,0.63,0.32,0.19,0.15
39,0.07,0.36,0.62,0.31,0.18,0.13
40,0.08,0.34,0.61,0.31,0.18,0.12
41,0.11,0.35,0.6,0.3,0.18,0.12
42,0.19,0.43,0.73,0.34,0.19,0.14
43,0.29,0.52,0.82,0.38,0.21,0.16
44,0.43,0.6,0.88,0.42,0.23,0.18
45,0.43,0.6,0.89,0.46,0.3,0.27
46,0.45,0.63,0.89,0.48,0.38,0.33
47,0.48,0.67,0.89,0.48,0.44,0.35
48,0.49,0.79,0.91,0.49,0.48,0.36
49,0.54,0.95,0.91,0.49,0.49,0.37
50,0.62,0.98,0.91,0.48,0.49,0.37
51,0.58,0.98,0.91,0.48,0.49,0.36
52,0.58,0.98,0.91,0.49,0.49,0.36
53,0.64,0.98,0.91,0.49,0.49,0.37
54,0.63,0.98,0.91,0.48,0.49,0.36
55,0.72,0.98,0.91,0.48,0.49,0.36
56,0.85,0.98,0.91,0.47,0.49,0.36
57,0.88,0.98,0.91,0.48,0.49,0.36
58,0.9,0.98,0.91,0.49,0.48,0.36
59,0.93,0.98,0.91,0.49,0.48,0.36
60,0.94,0.98,0.86,0.48,0.46,0.35
61,0.91,0.98,0.86,0.47,0.43,0.33
62,0.89,0.97,0.89,0.43,0.39,0.31
63,0.9,0.96,0.78,0.34,0.2,0.19
64,0.94,0.94,0.49,0.26,0.08,0.12
65,0.95,0.9,0.32,0.21,0.04,0.11
66,0.88,0.79,0.21,0.08,0.01,0.04
67,0.75,0.7,0.17,0.04,0.0,0.01
68,0.66,0.68,0.19,0.04,0.0,0.0
69,0.61,0.55,0.19,0.05,0.04,0.02
70,0.66,0.56,0.22,0.1,0.12,0.09
71,0.77,0.62,0.29,0.21,0.3,0.24
72,0.61,0.57,0.37,0.31,0.38,0.31
73,0.53,0.65,0.58,0.42,0.45,0.35
74,0.54,0.82,0.77,0.47,0.48,0.37
75,0.45,0.87,0.75,0.47,0.48,0.36
76,0.43,0.91,0.79,0.47,0.48,0.36
77,0.48,0.93,0.85,0.47,0.49,0.34
78,0.52,0.96,0.87,0.47,0.48,0.33
79,0.58,0.96,0.89,0.46,0.46,0.32
80,0.65,0.96,0.9,0.46,0.44,0.32
81,0.66,0.94,0.9,0.42,0.27,0.25
82,0.68,0.9,0.9,0.38,0.13,0.18
83,0.71,0.84,0.91,0.36,0.05,0.12
84,0.71,0.79,0.91,0.28,0.04,0.09
85,0.73,0.71,0.9,0.2,0.09,0.09
86,0.75,0.64,0.89,0.15,0.25,0.13
87,0.66,0.49,0.9,0.16,0.33,0.16
88,0.57,0.41,0.9,0.24,0.43,0.24
89,0.53,0.41,0.91,0.38,0.48,0.32
90,0.54,0.44,0.9,0.41,0.49,0.35
91,0.61,0.56,0.89,0.44,0.49,0.36
92,0.69,0.71,0.87,0.45,0.49,0.37
93,0.72,0.78,0.84,0.46,0.49,0.36
94,0.79,0.91,0.86,0.49,0.49,0.36
95,0.84,0.97,0.88,0.49,0.49,0.37
96,0.84,0.88,0.88,0.49,0.49,0.37
97,0.84,0.92,0.9,0.49,0.48,0.37
98,0.84,0.98,0.9,0.49,0.49,0.37
99,0.8,0.98,0.89,0.49,0.46,0.36
100,0.82,0.98,0.88,0.45,0.3,0.32
101,0.89,0.98,0.89,0.46,0.16,0.3
102,0.89,0.98,0.91,0.47,0.24,0.31
103,0.9,0.96,0.91,0.47,0.33,0.32
104,0.91,0.92,0.91,0.47,0.42,0.34
105,0.96,0.96,0.91,0.48,0.44,0.35
106,0.97,0.98,0.91,0.48,0.46,0.36
107,0.98,0.98,0.91,0.48,0.48,0.37
108,0.98,0.98,0.91,0.49,0.48,0.37
109,0.98,0.98,0.91,0.49,0.49,0.37
110,0.97,0.98,0.91,0.49,0.49,0.37
111,0.98,0.98,0.91,0.49,0.49,0.37
112,0.98,0.98,0.91,0.49,0.49,0.37
113,0.98,0.98,0.91,0.49,0.49,0.37
114,0.98,0.98,0.91,0.49,0.49,0.37
115,0.98,0.98,0.9,0.49,0.49,0.37
116,0.98,0.98,0.86,0.49,0.48,0.37
117,0.97,0.98,0.8,0.48,0.46,0.36
118,0.95,0.97,0.72,0.47,0.4,0.35
119,0.89,0.93,0.61,0.44,0.32,0.3
120,0.83,0.89,0.56,0.4,0.26,0.28
121,0.75,0.84,0.52,0.37,0.2,0.25
122,0.69,0.79,0.5,0.33,0.15,0.22
123,0.7,0.77,0.46,0.27,0.09,0.15
124,0.7,0.75,0.43,0.23,0.05,0.09
125,0.71,0.74,0.42,0.19,0.03,0.05
126,0.63,0.53,0.21,0.11,0.01,0.02
127,0.56,0.4,0.08,0.07,0.01,0.01
128,0.51,0.33,0.03,0.04,0.01,0.01
129,0.44,0.24,0.05,0.02,0.01,0.0
130,0.4,0.15,0.09,0.01,0.02,0.01
131,0.37,0.09,0.19,0.02,0.02,0.02
132,0.22,0.03,0.23,0.02,0.0,0.02
133,0.09,0.05,0.32,0.04,0.0,0.03
134,0.07,0.15,0.47,0.08,0.02,0.05
135,0.1,0.21,0.55,0.1,0.02,0.07
136,0.16,0.3,0.62,0.13,0.02,0.1
137,0.26,0.43,0.7,0.17,0.03,0.13
138,0.34,0.49,0.76,0.21,0.04,0.14
139,0.46,0.55,0.81,0.25,0.06,0.16
140,0.57,0.64,0.84,0.3,0.09,0.18
141,0.63,0.7,0.87,0.32,0.1,0.18
142,0.7,0.76,0.88,0.34,0.12,0.18
143,0.79,0.81,0.89,0.37,0.14,0.18
144,0.81,0.81,0.88,0.38,0.21,0.22
145,0.85,0.82,0.88,0.4,0.32,0.26
146,0.87,0.85,0.87,0.43,0.42,0.32
147,0.84,0.81,0.87,0.42,0.38,0.32
148,0.8,0.77,0.87,0.43,0.34,0.31
149,0.77,0.74,0.87,0.44,0.29,0.3
150,0.78,0.71,0.87,0.43,0.19,0.28
151,0.8,0.68,0.87,0.43,0.18,0.28
152,0.81,0.65,0.86,0.42,0.28,0.3
153,0.86,0.7,0.85,0.43,0.2,0.25
154,0.91,0.75,0.82,0.44,0.16,0.22
155,0.94,0.81,0.79,0.44,0.12,0.21
156,0.86,0.76,0.79,0.4,0.06,0.18
157,0.79,0.7,0.77,0.34,0.04,0.15
158,0.71,0.64,0.76,0.28,0.03,0.13
159,0.56,0.71,0.75,0.31,0.1,0.2
160,0.44,0.78,0.74,0.38,0.24,0.27
161,0.41,0.82,0.74,0.46,0.42,0.34
162,0.42,0.86,0.74,0.47,0.46,0.35
163,0.49,0.91,0.76,0.48,0.48,0.36
164,0.62,0.94,0.76,0.48,0.49,0.36
165,0.69,0.97,0.86,0.48,0.49,0.36
166,0.85,0.98,0.91,0.48,0.49,0.36
167,0.95,0.98,0.91,0.49,0.49,0.37
168,0.97,0.98,0.91,0.49,0.49,0.37
169,0.97,0.98,0.91,0.49,0.49,0.37
170,0.97,0.98,0.91,0.49,0.49,0.37
171,0.97,0.98,0.91,0.49,0.49,0.37
172,0.97,0.98,0.91,0.49,0.49,0.37
173,0.95,0.97,0.91,0.48,0.49,0.37
174,0.93,0.97,0.9,0.48,0.48,0.36
175,0.91,0.97,0.84,0.47,0.46,0.36
176,0.88,0.96,0.74,0.46,0.42,0.34
177,0.91,0.89,0.61,0.44,0.41,0.33
178,0.93,0.76,0.43,0.38,0.4,0.31
179,0.94,0.6,0.3,0.29,0.38,0.28
180,0.86,0.4,0.19,0.23,0.26,0.18
181,0.75,0.25,0.18,0.18,0.16,0.1
182,0.63,0.16,0.24,0.15,0.1,0.05
183,0.53,0.22,0.29,0.13,0.06,0.04
184,0.43,0.32,0.36,0.11,0.04,0.03
185,0.36,0.46,0.45,0.11,0.03,0.03
186,0.25,0.4,0.41,0.09,0.04,0.04
187,0.22,0.38,0.44,0.11,0.07,0.06
188,0.23,0.4,0.54,0.16,0.1,0.1
189,0.36,0.64,0.72,0.23,0.15,0.14
190,0.58,0.87,0.83,0.32,0.23,0.2
191,0.82,0.96,0.88,0.39,0.34,0.27
192,0.84,0.97,0.89,0.44,0.4,0.29
193,0.85,0.97,0.89,0.47,0.45,0.31
194,0.87,0.96,0.89,0.49,0.48,0.34
195,0.85,0.95,0.89,0.48,0.47,0.32
196,0.83,0.93,0.89,0.48,0.46,0.29
197,0.81,0.91,0.89,0.48,0.46,0.27
198,0.8,0.94,0.89,0.48,0.44,0.28
199,0.8,0.96,0.88,0.48,0.41,0.29
200,0.81,0.96,0.87,0.47,0.37,0.3
201,0.8,0.96,0.86,0.48,0.36,0.3
202,0.79,0.96,0.85,0.48,0.34,0.3
203,0.8,0.95,0.84,0.48,0.32,0.3
204,0.75,0.94,0.8,0.46,0.25,0.26
205,0.72,0.9,0.76,0.4,0.18,0.22
206,0.72,0.86,0.72,0.31,0.13,0.16
207,0.63,0.83,0.71,0.29,0.08,0.11
208,0.55,0.79,0.71,0.28,0.05,0.07
209,0.51,0.74,0.72,0.29,0.03,0.04
210,0.53,0.79,0.67,0.21,0.03,0.02
211,0.58,0.82,0.6,0.15,0.04,0.01
212,0.64,0.8,0.52,0.1,0.06,0.01
213,0.66,0.75,0.49,0.08,0.06,0.01
214,0.69,0.71,0.46,0.07,0.06,0.01
215,0.73,0.66,0.46,0.07,0.06,0.01
216,0.6,0.44,0.28,0.02,0.02,0.0
217,0.47,0.24,0.17,0.0,0.0,0.0
218,0.43,0.13,0.11,0.01,0.0,0.02
219,0.32,0.06,0.05,0.02,0.0,0.02
220,0.25,0.03,0.02,0.04,0.01,0.03
221,0.25,0.1,0.03,0.07,0.02,0.05
222,0.16,0.11,0.05,0.09,0.02,0.06
223,0.14,0.15,0.12,0.11,0.02,0.07
224,0.19,0.29,0.27,0.13,0.02,0.08
225,0.2,0.34,0.4,0.16,0.06,0.1
226,0.27,0.42,0.61,0.2,0.12,0.13
227,0.42,0.53,0.78,0.26,0.23,0.17
228,0.44,0.65,0.87,0.31,0.25,0.21
229,0.45,0.72,0.9,0.36,0.29,0.25
230,0.46,0.74,0.91,0.4,0.34,0.28
231,0.53,0.84,0.91,0.43,0.38,0.31
232,0.64,0.94,0.91,0.45,0.42,0.33
233,0.74,0.98,0.91,0.47,0.45,0.35
234,0.85,0.98,0.91,0.47,0.47,0.35
235,0.92,0.98,0.91,0.48,0.48,0.36
236,0.96,0.98,0.91,0.48,0.49,0.36
237,0.96,0.98,0.91,0.47,0.49,0.36
238,0.96,0.98,0.91,0.47,0.49,0.35
239,0.95,0.98,0.91,0.47,0.49,0.36
240,0.95,0.83,0.83,0.2,0.24,0.17
241,0.94,0.59,0.61,0.17,0.44,0.18
242,0.93,0.86,0.53,0.43,0.49,0.34
243,0.86,0.64,0.56,0.46,0.49,0.32
244,0.79,0.42,0.69,0.49,0.49,0.36
245,0.76,0.58,0.66,0.49,0.49,0.37
246,0.42,0.72,0.72,0.49,0.49,0.37
247,0.47,0.96,0.84,0.49,0.49,0.37
