Time,0,1,2,3,4,5
0,0.82,0.98,0.91,0.49,0.49,0.37
1,0.85,0.98,0.91,0.49,0.49,0.37
2,0.89,0.98,0.91,0.49,0.49,0.37
3,0.92,0.98,0.91,0.49,0.49,0.37
4,0.94,0.98,0.91,0.49,0.49,0.37
5,0.96,0.98,0.91,0.49,0.49,0.37
6,0.97,0.98,0.91,0.49,0.49,0.37
7,0.98,0.98,0.91,0.49,0.49,0.36
8,0.98,0.98,0.9,0.49,0.49,0.36
9,0.98,0.98,0.9,0.49,0.48,0.36
10,0.98,0.98,0.9,0.49,0.48,0.36
11,0.98,0.98,0.9,0.49,0.46,0.36
12,0.98,0.98,0.9,0.48,0.45,0.36
13,0.97,0.98,0.88,0.47,0.45,0.35
14,0.97,0.98,0.86,0.45,0.44,0.35
15,0.97,0.98,0.83,0.45,0.4,0.34
16,0.97,0.96,0.8,0.45,0.35,0.33
17,0.97,0.93,0.74,0.45,0.3,0.32
18,0.97,0.91,0.74,0.43,0.25,0.31
19,0.94,0.87,0.73,0.42,0.22,0.3
20,0.92,0.85,0.71,0.4,0.2,0.3
21,0.93,0.94,0.72,0.41,0.23,0.3
22,0.92,0.98,0.74,0.43,0.28,0.31
23,0.88,0.98,0.76,0.45,0.33,0.31
24,0.86,0.98,0.72,0.44,0.35,0.32
25,0.85,0.98,0.68,0.44,0.38,0.33
26,0.84,0.98,0.64,0.44,0.42,0.34
27,0.82,0.96,0.61,0.43,0.38,0.34
28,0.8,0.89,0.58,0.42,0.34,0.33
29,0.78,0.8,0.55,0.42,0.32,0.33
30,0.77,0.75,0.55,0.42,0.38,0.34
31,0.77,0.71,0.55,0.41,0.44,0.36
32,0.77,0.67,0.55,0.4,0.46,0.36
33,0.72,0.67,0.56,0.4,0.46,0.36
34,0.68,0.68,0.58,0.4,0.45,0.36
35,0.64,0.68,0.59,0.4,0.44,0.36
36,0.57,0.69,0.5,0.37,0.36,0.34
37,0.48,0.7,0.4,0.33,0.26,0.32
38,0.41,0.69,0.32,0.29,0.18,0.29
39,0.38,0.69,0.38,0.28,0.19,0.28
40,0.36,0.69,0.48,0.27,0.2,0.28
41,0.36,0.67,0.59,0.26,0.2,0.27
42,0.46,0.77,0.61,0.33,0.2,0.28
43,0.58,0.86,0.63,0.39,0.21,0.29
44,0.71,0.94,0.64,0.42,0.22,0.29
45,0.78,0.96,0.67,0.44,0.28,0.31
46,0.84,0.98,0.71,0.46,0.34,0.33
47,0.89,0.98,0.74,0.48,0.41,0.35
48,0.88,0.98,0.79,0.48,0.43,0.35
49,0.87,0.98,0.83,0.48,0.45,0.36
50,0.87,0.98,0.85,0.48,0.47,0.36
51,0.87,0.98,0.86,0.48,0.48,0.36
52,0.87,0.98,0.85,0.48,0.48,0.36
53,0.86,0.98,0.84,0.47,0.48,0.37
54,0.83,0.98,0.81,0.47,0.48,0.36
55,0.78,0.97,0.77,0.47,0.47,0.36
56,0.74,0.96,0.74,0.47,0.46,0.36
57,0.72,0.9,0.65,0.47,0.43,0.34
58,0.72,0.82,0.55,0.46,0.4,0.32
59,0.72,0.72,0.48,0.45,0.36,0.31
60,0.59,0.59,0.44,0.43,0.26,0.29
61,0.43,0.46,0.41,0.41,0.16,0.27
62,0.29,0.34,0.38,0.4,0.1,0.26
63,0.22,0.34,0.38,0.39,0.09,0.24
64,0.17,0.35,0.38,0.38,0.09,0.2
65,0.13,0.37,0.38,0.36,0.09,0.16
66,0.09,0.37,0.35,0.32,0.06,0.11
67,0.08,0.37,0.35,0.26,0.04,0.08
68,0.1,0.39,0.4,0.19,0.02,0.05
69,0.13,0.38,0.46,0.23,0.04,0.05
70,0.18,0.39,0.57,0.27,0.08,0.06
71,0.27,0.41,0.68,0.31,0.12,0.07
72,0.24,0.27,0.61,0.21,0.09,0.04
73,0.25,0.21,0.58,0.15,0.06,0.04
74,0.29,0.2,0.62,0.15,0.05,0.07
75,0.25,0.15,0.72,0.22,0.07,0.12
76,0.26,0.21,0.82,0.3,0.1,0.2
77,0.3,0.39,0.88,0.34,0.15,0.26
78,0.34,0.4,0.86,0.35,0.23,0.24
79,0.38,0.46,0.84,0.36,0.33,0.22
80,0.45,0.56,0.82,0.39,0.42,0.22
81,0.51,0.62,0.83,0.39,0.37,0.2
82,0.62,0.71,0.82,0.39,0.3,0.19
83,0.72,0.79,0.8,0.4,0.24,0.18
84,0.62,0.72,0.74,0.4,0.16,0.14
85,0.52,0.68,0.66,0.4,0.1,0.11
86,0.46,0.7,0.58,0.39,0.08,0.09
87,0.33,0.71,0.6,0.35,0.07,0.1
88,0.29,0.73,0.64,0.3,0.06,0.11
89,0.31,0.75,0.69,0.24,0.06,0.12
90,0.34,0.82,0.68,0.27,0.1,0.14
91,0.41,0.88,0.68,0.31,0.16,0.17
92,0.48,0.92,0.69,0.35,0.22,0.21
93,0.59,0.94,0.67,0.4,0.26,0.24
94,0.72,0.95,0.72,0.43,0.29,0.28
95,0.83,0.95,0.82,0.45,0.33,0.32
96,0.86,0.9,0.78,0.46,0.38,0.33
97,0.91,0.88,0.71,0.47,0.42,0.35
98,0.93,0.92,0.64,0.48,0.46,0.36
99,0.94,0.92,0.62,0.48,0.47,0.36
100,0.95,0.93,0.59,0.48,0.48,0.36
101,0.95,0.93,0.56,0.48,0.48,0.36
102,0.91,0.94,0.35,0.48,0.48,0.32
103,0.84,0.95,0.27,0.47,0.48,0.26
104,0.75,0.95,0.28,0.44,0.46,0.2
105,0.69,0.87,0.25,0.34,0.39,0.13
106,0.58,0.73,0.22,0.23,0.27,0.07
107,0.51,0.59,0.21,0.15,0.17,0.03
108,0.31,0.17,0.19,0.05,0.08,0.01
109,0.13,0.04,0.22,0.03,0.06,0.02
110,0.06,0.11,0.33,0.06,0.11,0.06
111,0.03,0.12,0.36,0.08,0.1,0.08
112,0.03,0.15,0.43,0.11,0.09,0.1
113,0.06,0.21,0.56,0.15,0.08,0.13
114,0.09,0.27,0.71,0.16,0.12,0.12
115,0.14,0.36,0.83,0.2,0.16,0.12
116,0.21,0.46,0.89,0.25,0.22,0.15
117,0.25,0.5,0.89,0.27,0.12,0.13
118,0.3,0.55,0.9,0.3,0.06,0.13
119,0.37,0.61,0.9,0.34,0.02,0.13
120,0.38,0.56,0.89,0.29,0.02,0.12
121,0.4,0.53,0.86,0.26,0.05,0.1
122,0.43,0.5,0.82,0.23,0.09,0.1
123,0.41,0.4,0.8,0.17,0.09,0.07
124,0.42,0.36,0.78,0.13,0.1,0.05
125,0.45,0.39,0.77,0.11,0.11,0.04
126,0.48,0.31,0.66,0.08,0.12,0.04
127,0.51,0.27,0.57,0.06,0.12,0.04
128,0.56,0.28,0.49,0.08,0.14,0.06
129,0.57,0.22,0.44,0.06,0.08,0.05
130,0.6,0.18,0.4,0.05,0.06,0.05
131,0.62,0.17,0.37,0.05,0.06,0.06
132,0.55,0.11,0.23,0.01,0.08,0.04
133,0.47,0.13,0.13,0.03,0.11,0.04
134,0.41,0.2,0.11,0.1,0.17,0.05
135,0.36,0.21,0.07,0.16,0.17,0.08
136,0.33,0.24,0.06,0.23,0.17,0.13
137,0.32,0.27,0.1,0.33,0.18,0.2
138,0.33,0.34,0.15,0.38,0.2,0.26
139,0.38,0.45,0.22,0.41,0.22,0.29
140,0.46,0.61,0.33,0.41,0.26,0.3
141,0.53,0.65,0.36,0.44,0.34,0.33
142,0.6,0.68,0.42,0.46,0.42,0.35
143,0.67,0.72,0.48,0.48,0.46,0.36
144,0.66,0.81,0.47,0.48,0.46,0.36
145,0.66,0.88,0.48,0.48,0.46,0.36
146,0.67,0.94,0.5,0.49,0.46,0.36
147,0.69,0.95,0.51,0.48,0.45,0.36
148,0.72,0.96,0.53,0.48,0.44,0.35
149,0.77,0.96,0.56,0.48,0.44,0.35
150,0.76,0.96,0.54,0.47,0.44,0.35
151,0.74,0.95,0.52,0.46,0.43,0.35
152,0.73,0.93,0.51,0.46,0.44,0.35
153,0.77,0.94,0.48,0.45,0.42,0.34
154,0.8,0.94,0.45,0.44,0.4,0.33
155,0.84,0.93,0.44,0.44,0.39,0.32
156,0.76,0.78,0.33,0.36,0.27,0.23
157,0.65,0.57,0.23,0.24,0.16,0.13
158,0.56,0.41,0.14,0.15,0.1,0.08
159,0.56,0.37,0.1,0.1,0.09,0.04
160,0.55,0.35,0.07,0.08,0.08,0.02
161,0.55,0.33,0.06,0.06,0.07,0.01
162,0.49,0.31,0.04,0.04,0.03,0.0
163,0.45,0.32,0.04,0.03,0.03,0.02
164,0.41,0.33,0.04,0.02,0.07,0.04
165,0.42,0.3,0.07,0.04,0.09,0.06
166,0.43,0.3,0.11,0.07,0.12,0.09
167,0.47,0.31,0.18,0.13,0.16,0.15
168,0.43,0.27,0.16,0.14,0.13,0.12
169,0.41,0.24,0.15,0.17,0.11,0.1
170,0.41,0.23,0.15,0.21,0.1,0.09
171,0.4,0.25,0.16,0.18,0.08,0.08
172,0.4,0.29,0.19,0.15,0.06,0.06
173,0.42,0.34,0.21,0.14,0.05,0.05
174,0.31,0.28,0.16,0.1,0.02,0.03
175,0.21,0.22,0.13,0.08,0.01,0.02
176,0.15,0.17,0.12,0.06,0.0,0.02
177,0.11,0.12,0.12,0.05,0.0,0.02
178,0.1,0.09,0.12,0.05,0.02,0.02
179,0.1,0.07,0.14,0.06,0.05,0.03
180,0.08,0.06,0.13,0.05,0.06,0.03
181,0.06,0.06,0.13,0.04,0.07,0.03
182,0.06,0.08,0.16,0.05,0.08,0.03
183,0.05,0.06,0.12,0.05,0.06,0.02
184,0.04,0.04,0.1,0.05,0.04,0.02
185,0.04,0.05,0.08,0.06,0.02,0.02
186,0.02,0.05,0.07,0.05,0.04,0.02
187,0.01,0.06,0.07,0.04,0.06,0.02
188,0.01,0.08,0.1,0.04,0.08,0.03
189,0.02,0.1,0.08,0.06,0.11,0.04
190,0.05,0.14,0.07,0.08,0.14,0.05
191,0.11,0.2,0.08,0.11,0.18,0.06
192,0.1,0.19,0.06,0.06,0.18,0.04
193,0.11,0.19,0.13,0.08,0.18,0.04
194,0.12,0.19,0.37,0.19,0.18,0.12
195,0.13,0.15,0.37,0.21,0.18,0.17
196,0.14,0.13,0.41,0.26,0.19,0.23
197,0.17,0.12,0.48,0.3,0.2,0.28
198,0.16,0.07,0.51,0.3,0.12,0.26
199,0.18,0.13,0.55,0.31,0.08,0.25
200,0.24,0.39,0.62,0.33,0.05,0.26
201,0.27,0.45,0.63,0.33,0.05,0.26
202,0.31,0.52,0.65,0.33,0.07,0.26
203,0.37,0.61,0.67,0.34,0.12,0.26
204,0.31,0.66,0.59,0.36,0.16,0.27
205,0.29,0.73,0.5,0.38,0.2,0.3
206,0.3,0.82,0.43,0.4,0.25,0.31
207,0.33,0.88,0.46,0.41,0.32,0.33
208,0.39,0.93,0.51,0.44,0.39,0.35
209,0.51,0.96,0.56,0.48,0.44,0.36
210,0.53,0.96,0.62,0.48,0.44,0.36
211,0.56,0.95,0.68,0.48,0.45,0.36
212,0.58,0.94,0.73,0.48,0.46,0.36
213,0.7,0.96,0.76,0.48,0.47,0.36
214,0.78,0.97,0.78,0.48,0.48,0.37
215,0.84,0.98,0.79,0.48,0.49,0.37
216,0.82,0.97,0.67,0.48,0.48,0.36
217,0.81,0.95,0.59,0.48,0.46,0.34
218,0.78,0.88,0.57,0.47,0.42,0.28
219,0.82,0.85,0.56,0.46,0.36,0.28
220,0.85,0.81,0.68,0.45,0.36,0.31
221,0.88,0.78,0.77,0.45,0.41,0.34
222,0.91,0.91,0.82,0.45,0.48,0.35
223,0.93,0.98,0.86,0.48,0.49,0.37
224,0.94,0.98,0.88,0.49,0.49,0.37
225,0.95,0.98,0.89,0.49,0.49,0.37
226,0.96,0.98,0.89,0.49,0.49,0.37
227,0.96,0.98,0.9,0.49,0.49,0.37
228,0.96,0.98,0.87,0.49,0.49,0.37
229,0.94,0.98,0.82,0.49,0.47,0.36
230,0.92,0.98,0.77,0.48,0.42,0.35
231,0.93,0.98,0.74,0.47,0.39,0.34
232,0.93,0.98,0.69,0.46,0.36,0.32
233,0.93,0.97,0.62,0.46,0.34,0.31
234,0.92,0.96,0.57,0.46,0.34,0.31
235,0.9,0.94,0.52,0.45,0.34,0.3
236,0.89,0.92,0.49,0.44,0.33,0.3
237,0.88,0.94,0.44,0.43,0.32,0.31
238,0.86,0.95,0.42,0.42,0.34,0.32
239,0.84,0.96,0.44,0.4,0.36,0.32
240,0.75,0.88,0.44,0.39,0.38,0.31
241,0.67,0.75,0.51,0.37,0.4,0.29
242,0.63,0.64,0.65,0.37,0.42,0.28
243,0.54,0.34,0.71,0.35,0.26,0.19
244,0.46,0.21,0.76,0.32,0.16,0.1
245,0.38,0.26,0.81,0.3,0.14,0.06
246,0.37,0.42,0.82,0.33,0.22,0.13
247,0.39,0.65,0.84,0.36,0.32,0.26
248,0.42,0.88,0.87,0.39,0.42,0.32
249,0.38,0.87,0.85,0.44,0.38,0.31
250,0.39,0.88,0.85,0.48,0.44,0.34
251,0.41,0.9,0.86,0.49,0.49,0.36
252,0.42,0.94,0.86,0.49,0.47,0.35
253,0.44,0.96,0.88,0.49,0.42,0.32
254,0.46,0.97,0.89,0.49,0.35,0.31
255,0.47,0.98,0.91,0.49,0.42,0.33
256,0.59,0.98,0.91,0.49,0.47,0.35
257,0.73,0.98,0.91,0.49,0.49,0.37
258,0.81,0.98,0.91,0.49,0.49,0.37
259,0.91,0.98,0.91,0.49,0.49,0.37
260,0.97,0.98,0.91,0.49,0.49,0.37
261,0.97,0.98,0.91,0.49,0.49,0.37
262,0.98,0.98,0.91,0.49,0.49,0.37
263,0.98,0.98,0.91,0.49,0.49,0.37
264,0.98,0.98,0.91,0.49,0.49,0.37
265,0.97,0.98,0.91,0.49,0.48,0.36
266,0.95,0.97,0.91,0.48,0.45,0.35
267,0.95,0.96,0.91,0.48,0.44,0.36
268,0.93,0.94,0.91,0.48,0.46,0.36
269,0.91,0.93,0.91,0.48,0.49,0.37
270,0.9,0.95,0.9,0.46,0.48,0.36
271,0.9,0.97,0.9,0.41,0.48,0.32
272,0.9,0.98,0.88,0.36,0.48,0.26
273,0.89,0.98,0.86,0.35,0.48,0.28
274,0.86,0.98,0.83,0.34,0.46,0.3
275,0.83,0.98,0.79,0.34,0.44,0.32
276,0.76,0.94,0.52,0.27,0.42,0.18
277,0.68,0.84,0.25,0.23,0.4,0.09
278,0.58,0.71,0.11,0.2,0.37,0.06
279,0.52,0.63,0.08,0.17,0.24,0.04
280,0.46,0.52,0.06,0.14,0.14,0.02
281,0.42,0.4,0.06,0.13,0.08,0.01
282,0.43,0.42,0.06,0.1,0.06,0.01
283,0.44,0.45,0.06,0.07,0.05,0.01
284,0.46,0.49,0.08,0.04,0.05,0.01
285,0.52,0.48,0.07,0.03,0.06,0.01
286,0.57,0.5,0.07,0.03,0.07,0.02
287,0.63,0.52,0.08,0.03,0.08,0.03
288,0.6,0.36,0.04,0.03,0.04,0.01
289,0.58,0.24,0.03,0.04,0.02,0.01
290,0.57,0.16,0.03,0.08,0.01,0.0
291,0.48,0.14,0.03,0.04,0.0,0.0
292,0.4,0.12,0.03,0.02,0.0,0.0
293,0.35,0.1,0.03,0.01,0.0,0.01
294,0.26,0.08,0.04,0.01,0.0,0.01
295,0.2,0.09,0.08,0.0,0.0,0.0
296,0.18,0.12,0.14,0.02,0.02,0.0
297,0.15,0.18,0.16,0.03,0.01,0.01
298,0.15,0.26,0.19,0.04,0.02,0.02
299,0.17,0.36,0.23,0.06,0.02,0.03
300,0.14,0.22,0.18,0.06,0.03,0.03
301,0.13,0.12,0.14,0.06,0.04,0.03
302,0.13,0.06,0.12,0.07,0.06,0.04
303,0.12,0.05,0.08,0.06,0.05,0.03
304,0.12,0.05,0.05,0.05,0.08,0.04
305,0.12,0.05,0.04,0.05,0.15,0.06
306,0.15,0.07,0.06,0.05,0.14,0.06
307,0.19,0.12,0.1,0.06,0.13,0.06
308,0.24,0.17,0.16,0.08,0.13,0.06
309,0.3,0.16,0.24,0.11,0.21,0.1
310,0.36,0.17,0.35,0.16,0.32,0.17
311,0.41,0.2,0.5,0.23,0.42,0.26
312,0.47,0.34,0.62,0.32,0.44,0.28
313,0.53,0.56,0.71,0.39,0.46,0.31
