Time,0,1,2,3,4,5
0,0.57,0.64,0.72,0.2,0.11,0.1
1,0.63,0.68,0.71,0.14,0.12,0.12
2,0.76,0.7,0.69,0.1,0.14,0.15
3,0.73,0.62,0.71,0.16,0.22,0.19
4,0.7,0.55,0.73,0.26,0.36,0.25
5,0.7,0.52,0.75,0.39,0.47,0.32
6,0.69,0.6,0.79,0.43,0.44,0.33
7,0.71,0.74,0.82,0.45,0.4,0.33
8,0.73,0.91,0.83,0.46,0.39,0.33
9,0.69,0.94,0.84,0.47,0.41,0.34
10,0.66,0.95,0.84,0.48,0.42,0.34
11,0.65,0.95,0.85,0.48,0.44,0.34
12,0.59,0.92,0.84,0.47,0.38,0.32
13,0.57,0.88,0.82,0.46,0.32,0.31
14,0.56,0.83,0.81,0.45,0.28,0.3
15,0.55,0.84,0.85,0.45,0.29,0.3
16,0.58,0.86,0.88,0.45,0.32,0.31
17,0.63,0.88,0.9,0.45,0.34,0.31
18,0.68,0.88,0.9,0.47,0.39,0.34
19,0.75,0.88,0.91,0.48,0.44,0.36
20,0.81,0.86,0.91,0.49,0.46,0.36
21,0.84,0.93,0.91,0.49,0.48,0.36
22,0.87,0.97,0.91,0.49,0.48,0.36
23,0.89,0.98,0.91,0.49,0.48,0.36
24,0.89,0.98,0.91,0.49,0.48,0.36
25,0.9,0.98,0.91,0.49,0.45,0.36
26,0.89,0.98,0.91,0.49,0.42,0.36
27,0.85,0.98,0.91,0.49,0.4,0.35
28,0.82,0.98,0.9,0.49,0.38,0.34
29,0.81,0.98,0.9,0.49,0.38,0.33
30,0.83,0.98,0.89,0.49,0.4,0.34
31,0.85,0.98,0.88,0.49,0.42,0.35
32,0.85,0.97,0.86,0.48,0.44,0.34
33,0.88,0.98,0.83,0.48,0.41,0.34
34,0.91,0.98,0.79,0.48,0.38,0.33
35,0.92,0.98,0.75,0.49,0.34,0.32
36,0.92,0.98,0.75,0.48,0.33,0.32
37,0.91,0.98,0.76,0.47,0.33,0.31
38,0.9,0.98,0.78,0.45,0.35,0.29
39,0.91,0.98,0.79,0.46,0.36,0.29
40,0.92,0.98,0.8,0.46,0.36,0.29
41,0.92,0.98,0.81,0.46,0.37,0.3
