Time,0,1,2,3,4,5
0,0.93,0.98,0.9,0.47,0.37,0.35
1,0.93,0.98,0.9,0.47,0.36,0.34
2,0.93,0.98,0.9,0.47,0.36,0.34
3,0.92,0.98,0.9,0.48,0.38,0.34
4,0.92,0.98,0.89,0.49,0.41,0.34
5,0.92,0.98,0.89,0.49,0.43,0.34
6,0.92,0.98,0.89,0.49,0.47,0.36
7,0.92,0.98,0.88,0.49,0.48,0.36
8,0.91,0.98,0.87,0.49,0.49,0.36
9,0.91,0.98,0.86,0.49,0.49,0.36
10,0.92,0.98,0.86,0.49,0.48,0.36
11,0.93,0.98,0.85,0.49,0.48,0.36
12,0.91,0.98,0.78,0.49,0.47,0.36
13,0.89,0.98,0.68,0.48,0.47,0.33
14,0.84,0.97,0.54,0.46,0.46,0.28
15,0.89,0.97,0.54,0.46,0.46,0.3
16,0.93,0.97,0.55,0.46,0.45,0.31
17,0.95,0.96,0.55,0.46,0.44,0.32
18,0.95,0.94,0.48,0.44,0.4,0.27
19,0.94,0.93,0.42,0.43,0.35,0.21
20,0.93,0.9,0.37,0.4,0.3,0.17
21,0.92,0.89,0.32,0.34,0.24,0.15
22,0.92,0.85,0.28,0.32,0.2,0.17
23,0.91,0.8,0.26,0.34,0.16,0.22
24,0.9,0.68,0.28,0.36,0.12,0.22
25,0.89,0.58,0.32,0.39,0.14,0.24
26,0.87,0.52,0.38,0.42,0.22,0.28
27,0.87,0.51,0.37,0.4,0.23,0.29
28,0.87,0.52,0.38,0.39,0.31,0.32
29,0.86,0.55,0.43,0.4,0.42,0.35
30,0.88,0.57,0.45,0.42,0.45,0.36
31,0.89,0.63,0.5,0.45,0.46,0.36
32,0.88,0.68,0.59,0.48,0.48,0.36
33,0.88,0.77,0.61,0.48,0.48,0.36
34,0.87,0.91,0.66,0.48,0.48,0.36
35,0.86,0.96,0.73,0.47,0.48,0.36
36,0.83,0.92,0.59,0.46,0.46,0.35
37,0.77,0.82,0.45,0.44,0.44,0.3
38,0.68,0.69,0.36,0.41,0.39,0.24
39,0.67,0.69,0.35,0.41,0.4,0.23
40,0.67,0.7,0.35,0.41,0.41,0.23
41,0.68,0.73,0.37,0.41,0.42,0.22
42,0.67,0.76,0.5,0.38,0.36,0.18
43,0.67,0.8,0.68,0.35,0.31,0.14
44,0.68,0.83,0.8,0.34,0.26,0.12
45,0.66,0.9,0.86,0.36,0.31,0.19
46,0.67,0.94,0.9,0.39,0.39,0.29
47,0.69,0.97,0.91,0.42,0.46,0.34
48,0.75,0.98,0.91,0.44,0.45,0.34
49,0.86,0.98,0.91,0.46,0.45,0.34
50,0.9,0.98,0.9,0.47,0.44,0.34
51,0.88,0.98,0.9,0.48,0.42,0.33
52,0.82,0.97,0.89,0.48,0.4,0.31
53,0.78,0.97,0.89,0.48,0.38,0.3
54,0.73,0.95,0.88,0.47,0.35,0.27
55,0.72,0.91,0.87,0.46,0.34,0.25
56,0.71,0.87,0.83,0.45,0.34,0.22
57,0.67,0.83,0.83,0.44,0.22,0.16
58,0.64,0.79,0.82,0.41,0.12,0.11
59,0.61,0.75,0.81,0.39,0.06,0.08
60,0.51,0.59,0.74,0.25,0.02,0.05
61,0.37,0.43,0.69,0.13,0.0,0.03
62,0.24,0.29,0.65,0.06,0.0,0.02
63,0.14,0.17,0.56,0.03,0.03,0.02
64,0.09,0.11,0.47,0.02,0.06,0.03
65,0.09,0.08,0.38,0.05,0.11,0.05
66,0.1,0.1,0.42,0.07,0.1,0.04
67,0.14,0.17,0.51,0.1,0.08,0.05
68,0.24,0.29,0.65,0.16,0.08,0.06
69,0.32,0.48,0.78,0.24,0.05,0.09
70,0.43,0.72,0.87,0.33,0.03,0.13
71,0.54,0.9,0.9,0.39,0.01,0.19
72,0.49,0.82,0.91,0.36,0.01,0.15
73,0.49,0.75,0.9,0.33,0.04,0.12
74,0.51,0.72,0.9,0.32,0.08,0.11
75,0.44,0.65,0.89,0.31,0.12,0.12
76,0.39,0.61,0.88,0.3,0.2,0.15
77,0.37,0.54,0.84,0.31,0.32,0.18
78,0.32,0.26,0.73,0.14,0.37,0.14
79,0.27,0.12,0.61,0.11,0.46,0.18
80,0.29,0.07,0.53,0.17,0.49,0.31
81,0.32,0.1,0.28,0.24,0.49,0.35
82,0.38,0.3,0.13,0.32,0.49,0.36
83,0.45,0.6,0.07,0.41,0.49,0.37
84,0.51,0.67,0.07,0.47,0.49,0.37
85,0.6,0.77,0.21,0.49,0.49,0.37
86,0.72,0.94,0.48,0.49,0.49,0.37
87,0.81,0.96,0.65,0.41,0.49,0.37
88,0.88,0.97,0.78,0.41,0.49,0.37
89,0.92,0.98,0.87,0.41,0.0,0.24
90,0.97,0.98,0.9,0.41,0.24,0.37
91,0.98,0.98,0.91,0.41,0.49,0.37
92,0.98,0.98,0.91,0.41,0.49,0.37
93,0.98,0.98,0.91,0.41,0.49,0.37
94,0.86,0.98,0.91,0.49,0.49,0.37
95,0.67,0.78,0.91,0.49,0.49,0.37
96,0.92,0.69,0.91,0.49,0.49,0.37
97,0.92,0.69,0.91,0.49,0.49,0.37
