Time,0,1,2,3,4,5
0,667.4,841.6,268.1,8422.4,1823.6,4215.5
1,641.9999999999999,809.2,257.99999999999994,8100.199999999999,1754.0000000000002,4054.2999999999993
2,617.8,778.7999999999998,247.99999999999997,7791.800000000001,1687.3000000000002,3900.0
3,592.7,747.2999999999998,238.2,7478.900000000001,1619.4,3743.2
4,567.2,715.1999999999999,227.79999999999998,7156.200000000001,1549.6000000000001,3581.8
5,541.1,682.1000000000001,217.50000000000003,6826.3,1478.2000000000003,3416.5
6,516.0,650.7,207.39999999999998,6512.200000000001,1410.1000000000001,3259.3
7,504.29999999999995,635.6,202.60000000000002,6362.9,1377.7,3184.7999999999997
8,499.5,629.7,200.79999999999998,6302.1,1364.5,3154.2999999999997
9,492.09999999999997,620.5,197.60000000000002,6208.0999999999985,1344.3,3107.3
10,491.8,620.2,197.50000000000003,6206.599999999999,1343.8999999999999,3106.3
11,488.90000000000003,616.4,196.2,6170.299999999998,1336.0000000000002,3088.2999999999997
12,493.9,622.6,198.4,6230.700000000001,1349.2,3118.5999999999995
13,499.8,629.9999999999999,200.79999999999998,6304.8,1365.3000000000002,3155.6999999999994
14,510.2,643.2,205.0,6436.9,1393.8000000000002,3221.6999999999994
15,518.8,653.6999999999999,208.39999999999998,6541.100000000001,1416.4,3274.0
16,524.2,660.6999999999999,210.7,6610.900000000001,1431.5,3308.8
17,532.3000000000001,671.1,213.7,6716.6,1454.1999999999998,3361.7
18,543.4,685.0999999999998,218.3,6855.6,1484.5,3431.5
19,553.0,697.1,222.20000000000002,6977.900000000001,1511.0,3492.5
20,562.9,709.8000000000001,226.1,7103.599999999999,1538.1999999999998,3555.5
21,575.3000000000001,725.4,231.2,7259.299999999998,1571.7000000000003,3633.4
22,586.7,739.9000000000001,235.7,7402.500000000001,1602.8000000000002,3705.0000000000005
23,598.0999999999999,753.9,240.3,7545.499999999999,1633.9,3776.5
24,634.5999999999999,800.0999999999999,254.80000000000004,8007.999999999998,1733.9,4008.0999999999995
25,610.1,768.9999999999999,244.9,7696.700000000001,1666.6000000000001,3852.2000000000003
26,587.5,740.7,236.0,7413.100000000001,1605.2,3710.2
27,565.3,712.5000000000001,227.0,7131.000000000001,1544.1,3569.1000000000004
28,540.0,680.5000000000001,216.90000000000003,6810.199999999999,1474.7,3408.7000000000003
29,517.1,652.1,207.79999999999995,6525.5,1413.0,3266.2000000000003
30,495.40000000000003,624.8999999999999,198.9,6251.6,1353.6999999999998,3128.9999999999995
31,485.5,612.2,195.0,6125.200000000001,1326.3999999999999,3065.9
32,486.20000000000005,613.1,195.20000000000002,6134.800000000001,1328.4,3070.7
33,490.20000000000005,618.3000000000001,196.9,6187.199999999998,1339.7,3096.6000000000004
34,503.09999999999997,634.2,202.2,6346.5999999999985,1374.3,3176.6
35,519.0,654.1999999999999,208.59999999999997,6545.800000000001,1417.3,3276.1000000000004
36,535.1,674.5,214.79999999999995,6750.6,1461.7,3378.7
37,565.4,712.7000000000002,227.0,7133.1,1544.5,3570.2
38,593.7,748.5999999999999,238.49999999999997,7491.500000000002,1622.1999999999998,3749.5
39,606.6,764.6999999999999,243.6,7653.4000000000015,1657.1,3830.4999999999995
40,606.9,765.3,243.9,7658.500000000001,1658.1999999999998,3833.2
41,605.8,763.8,243.29999999999998,7643.299999999999,1655.0,3825.4
42,605.4999999999999,763.5999999999999,243.29999999999998,7641.500000000001,1654.7,3824.5999999999995
43,601.9,758.9,241.80000000000004,7594.999999999999,1644.5,3801.4000000000005
44,604.7,762.3999999999999,242.9,7629.4,1651.8999999999999,3818.4999999999995
45,633.7,799.2999999999998,254.60000000000005,7998.800000000001,1731.8999999999999,4003.3999999999996
46,660.5,832.8,265.40000000000003,8334.3,1804.6000000000001,4171.5
47,681.6999999999999,859.4,273.9,8600.9,1862.3,4304.8
48,788.3,993.8,316.59999999999997,9946.3,2153.7,4978.1
49,753.0000000000001,949.0,302.3,9497.7,2056.6,4753.6
50,716.6,903.3999999999999,287.70000000000005,9041.399999999998,1957.6999999999998,4525.2
51,678.8000000000001,855.8000000000001,272.5,8563.599999999999,1854.3,4286.1
52,639.6999999999999,806.7,256.8,8070.500000000001,1747.5,4039.3
53,600.3000000000001,756.6999999999999,241.00000000000003,7574.199999999999,1640.0,3790.8999999999996
54,568.9,717.4000000000001,228.40000000000003,7177.9,1554.2,3592.5
55,560.9000000000001,707.1000000000001,225.2,7076.0999999999985,1532.2,3541.6
56,568.1,716.5,228.3,7169.7,1552.3999999999999,3588.4
57,584.1999999999999,736.3,234.4,7368.000000000001,1595.5,3687.7999999999997
58,601.9,758.8,241.70000000000002,7594.0,1644.3,3800.7000000000003
59,621.3,783.1999999999999,249.70000000000002,7837.5,1697.0,3922.7999999999997
60,637.4000000000001,803.0,255.9,8037.799999999999,1740.5,4022.9999999999995
61,670.8,845.9,269.5,8465.2,1832.9,4237.099999999999
62,697.7,879.3999999999999,280.1,8800.1,1905.5,4404.6
63,690.7,870.9,277.5,8715.3,1887.1,4362.200000000001
64,686.1,864.9000000000001,275.59999999999997,8654.1,1873.9,4331.3
65,683.5999999999999,861.8000000000001,274.5,8623.199999999999,1867.2,4315.999999999999
66,672.9,848.0999999999999,270.09999999999997,8487.7,1837.8,4248.2
67,661.9,834.5,265.90000000000003,8351.4,1808.3999999999999,4179.900000000001
68,672.0999999999999,847.1999999999999,269.9,8479.800000000001,1836.1,4244.2
69,683.5999999999999,861.8000000000001,274.5,8623.499999999998,1867.2,4316.099999999999
70,699.7,882.0,281.0,8825.999999999998,1911.1999999999998,4417.5
71,707.3,891.6,283.9,8922.400000000001,1932.0,4465.7
72,717.2,904.3000000000001,288.0,9048.199999999997,1959.2,4528.700000000001
73,679.8000000000001,856.9,272.90000000000003,8575.499999999998,1856.9,4292.3
74,641.8999999999999,809.2,257.9,8099.2,1753.8000000000002,4053.6999999999994
75,603.9,761.5,242.50000000000003,7620.5,1650.1,3813.9999999999995
76,567.1,714.8,227.79999999999998,7153.200000000001,1548.9,3580.4
77,534.8,674.2,214.79999999999995,6747.4,1461.0,3377.2999999999997
78,513.2,647.0,206.09999999999997,6476.599999999999,1402.3999999999999,3241.4
79,503.09999999999997,634.2,202.2,6346.399999999998,1374.3,3176.6
80,504.19999999999993,635.4000000000001,202.50000000000003,6359.799999999998,1376.9999999999998,3183.2
