Time,0,1,2,3,4,5
0,0.55,0.95,0.89,0.48,0.45,0.33
1,0.69,0.95,0.84,0.47,0.41,0.32
2,0.87,0.94,0.74,0.46,0.36,0.31
3,0.84,0.94,0.71,0.42,0.26,0.23
4,0.76,0.94,0.67,0.34,0.17,0.14
5,0.69,0.93,0.65,0.24,0.11,0.07
6,0.55,0.71,0.42,0.06,0.04,0.0
7,0.44,0.48,0.27,0.01,0.0,0.0
8,0.39,0.29,0.2,0.02,0.0,0.08
9,0.34,0.09,0.15,0.03,0.0,0.11
10,0.32,0.02,0.21,0.08,0.06,0.17
11,0.32,0.04,0.38,0.17,0.25,0.25
12,0.22,0.1,0.49,0.21,0.3,0.27
13,0.18,0.27,0.69,0.29,0.36,0.29
14,0.22,0.56,0.83,0.37,0.42,0.32
15,0.21,0.73,0.88,0.45,0.46,0.36
16,0.25,0.88,0.89,0.48,0.48,0.37
17,0.31,0.95,0.9,0.49,0.49,0.37
18,0.34,0.94,0.9,0.46,0.49,0.35
19,0.39,0.89,0.89,0.26,0.49,0.23
20,0.51,0.82,0.81,0.18,0.49,0.17
21,0.5,0.77,0.8,0.14,0.3,0.07
22,0.56,0.77,0.78,0.14,0.11,0.02
23,0.68,0.8,0.77,0.18,0.1,0.06
24,0.67,0.8,0.59,0.05,0.08,0.09
25,0.73,0.8,0.35,0.05,0.2,0.18
26,0.84,0.79,0.19,0.15,0.45,0.33
27,0.88,0.67,0.08,0.19,0.43,0.31
28,0.92,0.58,0.09,0.26,0.4,0.3
29,0.96,0.54,0.25,0.39,0.38,0.3
30,0.96,0.49,0.28,0.38,0.31,0.29
31,0.97,0.56,0.42,0.35,0.24,0.28
32,0.97,0.69,0.69,0.34,0.18,0.26
33,0.97,0.76,0.79,0.34,0.2,0.29
34,0.97,0.9,0.87,0.37,0.22,0.3
35,0.97,0.95,0.91,0.4,0.24,0.3
36,0.96,0.88,0.89,0.4,0.12,0.28
37,0.94,0.85,0.84,0.42,0.15,0.29
38,0.92,0.87,0.79,0.47,0.34,0.35
39,0.93,0.9,0.81,0.48,0.32,0.34
40,0.93,0.92,0.83,0.48,0.31,0.33
41,0.93,0.93,0.85,0.49,0.31,0.33
42,0.94,0.97,0.89,0.49,0.42,0.36
43,0.95,0.98,0.9,0.49,0.48,0.37
44,0.97,0.98,0.9,0.49,0.49,0.37
45,0.97,0.98,0.91,0.49,0.49,0.37
46,0.97,0.98,0.91,0.49,0.49,0.37
47,0.97,0.98,0.91,0.49,0.49,0.37
48,0.97,0.98,0.91,0.49,0.49,0.37
49,0.97,0.98,0.91,0.49,0.49,0.37
50,0.97,0.98,0.91,0.49,0.49,0.37
51,0.96,0.98,0.91,0.49,0.49,0.37
52,0.95,0.98,0.91,0.49,0.49,0.37
53,0.93,0.98,0.9,0.49,0.49,0.37
54,0.94,0.98,0.88,0.49,0.49,0.37
55,0.94,0.98,0.87,0.49,0.49,0.37
56,0.92,0.98,0.85,0.49,0.49,0.37
57,0.93,0.98,0.86,0.49,0.49,0.37
58,0.93,0.98,0.87,0.49,0.48,0.36
59,0.94,0.98,0.88,0.49,0.46,0.36
60,0.9,0.96,0.83,0.48,0.44,0.35
61,0.84,0.9,0.76,0.47,0.4,0.33
62,0.76,0.82,0.68,0.44,0.35,0.31
63,0.77,0.87,0.68,0.43,0.36,0.32
64,0.78,0.91,0.67,0.42,0.37,0.32
65,0.79,0.93,0.66,0.41,0.38,0.31
66,0.78,0.94,0.61,0.42,0.39,0.32
67,0.77,0.95,0.56,0.43,0.4,0.32
68,0.76,0.95,0.52,0.44,0.41,0.33
69,0.79,0.96,0.56,0.45,0.37,0.33
70,0.82,0.97,0.62,0.46,0.34,0.33
71,0.82,0.97,0.69,0.46,0.3,0.33
72,0.77,0.97,0.53,0.46,0.28,0.31
73,0.69,0.97,0.48,0.46,0.25,0.28
74,0.64,0.95,0.54,0.46,0.24,0.25
75,0.53,0.74,0.6,0.41,0.17,0.19
76,0.42,0.51,0.68,0.35,0.12,0.13
77,0.36,0.38,0.77,0.3,0.08,0.09
78,0.37,0.44,0.84,0.31,0.02,0.1
79,0.43,0.64,0.89,0.36,0.03,0.17
80,0.54,0.78,0.91,0.4,0.12,0.26
81,0.6,0.84,0.91,0.41,0.16,0.27
82,0.7,0.9,0.91,0.41,0.22,0.28
83,0.8,0.95,0.91,0.42,0.29,0.29
84,0.81,0.92,0.89,0.44,0.32,0.29
85,0.81,0.87,0.86,0.46,0.35,0.29
86,0.8,0.82,0.82,0.46,0.38,0.29
87,0.76,0.85,0.84,0.46,0.42,0.3
88,0.71,0.92,0.88,0.46,0.45,0.31
89,0.66,0.97,0.88,0.45,0.48,0.29
90,0.66,0.95,0.86,0.43,0.44,0.26
91,0.68,0.93,0.84,0.41,0.38,0.22
92,0.7,0.89,0.8,0.39,0.31,0.18
93,0.75,0.91,0.79,0.42,0.34,0.22
94,0.78,0.94,0.78,0.44,0.37,0.26
95,0.8,0.96,0.75,0.46,0.4,0.3
96,0.81,0.96,0.74,0.46,0.38,0.3
97,0.83,0.96,0.74,0.44,0.37,0.3
98,0.86,0.97,0.73,0.43,0.35,0.29
99,0.85,0.95,0.72,0.43,0.34,0.3
100,0.85,0.94,0.71,0.41,0.34,0.31
101,0.83,0.92,0.7,0.4,0.34,0.32
102,0.82,0.91,0.63,0.4,0.33,0.3
103,0.83,0.9,0.54,0.4,0.34,0.3
104,0.84,0.91,0.46,0.4,0.37,0.3
105,0.77,0.82,0.42,0.38,0.3,0.23
106,0.67,0.72,0.39,0.36,0.24,0.17
107,0.6,0.64,0.36,0.34,0.2,0.13
108,0.5,0.31,0.32,0.24,0.1,0.06
109,0.39,0.12,0.3,0.13,0.04,0.03
110,0.26,0.05,0.32,0.06,0.01,0.02
111,0.15,0.04,0.32,0.05,0.01,0.02
112,0.08,0.05,0.34,0.05,0.01,0.02
113,0.04,0.08,0.38,0.06,0.02,0.02
114,0.05,0.14,0.48,0.08,0.02,0.02
115,0.08,0.24,0.61,0.1,0.02,0.02
116,0.18,0.37,0.72,0.14,0.02,0.02
117,0.24,0.36,0.73,0.17,0.07,0.06
118,0.34,0.39,0.73,0.24,0.17,0.14
119,0.45,0.46,0.74,0.34,0.31,0.27
120,0.48,0.59,0.77,0.38,0.34,0.25
121,0.52,0.69,0.79,0.44,0.39,0.25
122,0.6,0.76,0.81,0.48,0.44,0.27
123,0.54,0.74,0.79,0.48,0.43,0.29
124,0.49,0.73,0.76,0.47,0.44,0.31
125,0.46,0.74,0.74,0.47,0.45,0.33
126,0.47,0.81,0.71,0.46,0.4,0.3
127,0.48,0.88,0.68,0.45,0.34,0.26
128,0.51,0.91,0.65,0.44,0.28,0.2
129,0.47,0.88,0.66,0.42,0.27,0.21
130,0.45,0.86,0.66,0.41,0.28,0.22
131,0.44,0.83,0.65,0.4,0.31,0.24
132,0.4,0.68,0.57,0.34,0.22,0.15
133,0.36,0.54,0.46,0.25,0.14,0.09
134,0.33,0.4,0.34,0.17,0.08,0.06
135,0.32,0.3,0.34,0.14,0.06,0.05
136,0.3,0.23,0.35,0.13,0.05,0.05
137,0.3,0.19,0.37,0.12,0.04,0.05
138,0.27,0.18,0.37,0.12,0.02,0.06
139,0.24,0.2,0.37,0.12,0.01,0.06
140,0.23,0.24,0.39,0.13,0.0,0.07
141,0.22,0.2,0.41,0.15,0.02,0.08
142,0.23,0.17,0.44,0.18,0.04,0.11
143,0.26,0.15,0.48,0.22,0.07,0.13
144,0.29,0.22,0.57,0.28,0.12,0.15
145,0.34,0.34,0.66,0.33,0.19,0.18
146,0.41,0.51,0.74,0.39,0.29,0.22
147,0.31,0.52,0.75,0.39,0.31,0.24
148,0.25,0.56,0.76,0.38,0.34,0.25
149,0.25,0.58,0.75,0.38,0.36,0.27
150,0.28,0.66,0.82,0.41,0.35,0.27
151,0.31,0.71,0.85,0.43,0.34,0.27
152,0.35,0.74,0.87,0.45,0.33,0.26
153,0.33,0.7,0.86,0.42,0.24,0.23
154,0.31,0.65,0.86,0.4,0.18,0.2
155,0.31,0.6,0.85,0.37,0.12,0.18
156,0.35,0.67,0.88,0.4,0.13,0.2
157,0.38,0.71,0.89,0.43,0.14,0.22
158,0.42,0.73,0.9,0.45,0.16,0.24
159,0.44,0.73,0.9,0.46,0.15,0.22
160,0.45,0.75,0.9,0.46,0.14,0.22
161,0.48,0.79,0.89,0.46,0.13,0.24
162,0.5,0.81,0.89,0.46,0.11,0.24
163,0.55,0.86,0.89,0.46,0.11,0.24
164,0.6,0.92,0.88,0.46,0.11,0.24
165,0.6,0.89,0.87,0.46,0.1,0.24
166,0.62,0.87,0.87,0.46,0.11,0.24
167,0.64,0.85,0.87,0.46,0.11,0.24
168,0.62,0.84,0.88,0.46,0.12,0.23
169,0.61,0.83,0.89,0.46,0.14,0.23
170,0.62,0.81,0.89,0.46,0.17,0.25
171,0.65,0.91,0.91,0.47,0.29,0.28
172,0.7,0.95,0.91,0.47,0.43,0.31
173,0.78,0.96,0.91,0.48,0.48,0.34
174,0.81,0.97,0.91,0.49,0.48,0.34
175,0.85,0.97,0.91,0.49,0.48,0.35
176,0.89,0.97,0.91,0.49,0.49,0.36
177,0.9,0.97,0.91,0.49,0.49,0.36
178,0.89,0.96,0.91,0.49,0.49,0.36
179,0.87,0.94,0.91,0.47,0.49,0.36
180,0.83,0.96,0.91,0.46,0.48,0.35
181,0.77,0.97,0.9,0.45,0.44,0.33
182,0.73,0.98,0.9,0.44,0.35,0.3
183,0.72,0.97,0.9,0.43,0.27,0.28
184,0.72,0.97,0.9,0.41,0.2,0.24
185,0.74,0.95,0.9,0.36,0.14,0.18
186,0.7,0.92,0.88,0.31,0.16,0.19
187,0.66,0.88,0.86,0.31,0.21,0.22
188,0.62,0.82,0.84,0.39,0.28,0.26
189,0.54,0.84,0.88,0.43,0.4,0.3
190,0.47,0.79,0.9,0.45,0.48,0.34
191,0.4,0.76,0.91,0.46,0.49,0.36
192,0.44,0.83,0.91,0.47,0.49,0.36
193,0.53,0.92,0.91,0.47,0.48,0.36
194,0.63,0.97,0.91,0.48,0.48,0.36
195,0.62,0.96,0.91,0.49,0.47,0.36
196,0.63,0.93,0.91,0.49,0.47,0.35
197,0.67,0.91,0.91,0.49,0.47,0.35
198,0.64,0.93,0.91,0.49,0.47,0.35
199,0.67,0.94,0.91,0.49,0.47,0.36
200,0.72,0.94,0.9,0.48,0.47,0.36
201,0.73,0.96,0.91,0.49,0.48,0.36
202,0.74,0.97,0.91,0.49,0.49,0.37
203,0.78,0.98,0.91,0.49,0.49,0.37
204,0.87,0.98,0.91,0.49,0.49,0.37
205,0.93,0.98,0.91,0.49,0.49,0.37
206,0.96,0.98,0.91,0.49,0.49,0.37
207,0.97,0.98,0.91,0.49,0.49,0.37
208,0.97,0.98,0.91,0.49,0.49,0.37
209,0.97,0.98,0.91,0.49,0.49,0.37
210,0.97,0.98,0.91,0.49,0.49,0.37
211,0.97,0.98,0.91,0.49,0.49,0.37
212,0.98,0.98,0.91,0.49,0.49,0.37
213,0.98,0.98,0.91,0.49,0.49,0.37
214,0.98,0.98,0.91,0.49,0.49,0.37
215,0.95,0.98,0.91,0.49,0.49,0.37
216,0.97,0.98,0.91,0.48,0.49,0.37
217,0.98,0.98,0.91,0.47,0.49,0.37
218,0.98,0.98,0.91,0.46,0.49,0.37
219,0.98,0.98,0.91,0.46,0.49,0.37
220,0.98,0.98,0.91,0.47,0.48,0.36
221,0.86,0.98,0.91,0.48,0.48,0.36
222,0.98,0.98,0.91,0.49,0.44,0.35
223,0.97,0.98,0.91,0.49,0.4,0.33
224,0.96,0.98,0.88,0.49,0.33,0.31
225,0.97,0.88,0.91,0.49,0.38,0.32
226,0.97,0.88,0.91,0.48,0.42,0.33
227,0.95,0.88,0.91,0.48,0.45,0.32
228,0.89,0.98,0.9,0.46,0.4,0.28
229,0.81,0.94,0.86,0.43,0.34,0.23
230,0.75,0.85,0.78,0.36,0.28,0.19
231,0.72,0.84,0.7,0.3,0.22,0.14
232,0.7,0.81,0.62,0.25,0.16,0.1
233,0.67,0.76,0.57,0.19,0.11,0.07
234,0.68,0.72,0.52,0.21,0.09,0.05
235,0.69,0.68,0.48,0.22,0.08,0.04
236,0.7,0.64,0.45,0.24,0.06,0.03
237,0.74,0.64,0.46,0.25,0.1,0.04
238,0.79,0.66,0.49,0.27,0.15,0.06
239,0.84,0.67,0.52,0.3,0.21,0.08
240,0.74,0.54,0.23,0.12,0.09,0.02
241,0.65,0.37,0.08,0.04,0.03,0.0
242,0.6,0.19,0.02,0.02,0.0,0.0
243,0.47,0.03,0.01,0.01,0.0,0.0
244,0.4,0.0,0.02,0.02,0.0,0.01
245,0.38,0.03,0.07,0.05,0.01,0.05
246,0.23,0.1,0.18,0.08,0.06,0.09
247,0.18,0.27,0.45,0.14,0.14,0.16
248,0.34,0.55,0.79,0.24,0.29,0.24
249,0.35,0.59,0.87,0.27,0.26,0.25
250,0.39,0.65,0.9,0.31,0.24,0.26
251,0.47,0.72,0.91,0.37,0.22,0.27
252,0.48,0.79,0.91,0.39,0.34,0.31
253,0.53,0.85,0.91,0.41,0.45,0.34
254,0.59,0.9,0.91,0.43,0.48,0.35
255,0.68,0.93,0.91,0.44,0.46,0.33
256,0.76,0.96,0.91,0.43,0.42,0.28
257,0.82,0.97,0.91,0.4,0.34,0.21
258,0.87,0.95,0.91,0.3,0.28,0.15
259,0.9,0.9,0.89,0.22,0.41,0.17
260,0.91,0.84,0.81,0.17,0.49,0.22
261,0.82,0.51,0.78,0.13,0.48,0.23
262,0.76,0.21,0.8,0.23,0.48,0.29
263,0.73,0.1,0.79,0.4,0.47,0.35
264,0.52,0.07,0.62,0.41,0.46,0.33
265,0.41,0.44,0.7,0.43,0.46,0.32
266,0.37,0.74,0.83,0.47,0.47,0.34
267,0.22,0.78,0.78,0.44,0.44,0.34
268,0.23,0.86,0.74,0.42,0.42,0.34
269,0.39,0.93,0.72,0.4,0.42,0.35
270,0.41,0.95,0.75,0.38,0.36,0.32
271,0.46,0.95,0.8,0.38,0.3,0.29
272,0.51,0.96,0.82,0.4,0.27,0.28
273,0.53,0.96,0.81,0.41,0.25,0.28
274,0.55,0.97,0.79,0.42,0.24,0.28
275,0.58,0.97,0.78,0.44,0.23,0.29
276,0.62,0.96,0.74,0.43,0.24,0.28
277,0.64,0.94,0.7,0.41,0.24,0.25
278,0.67,0.91,0.66,0.4,0.26,0.22
279,0.69,0.9,0.65,0.38,0.21,0.2
280,0.73,0.88,0.65,0.36,0.18,0.19
281,0.79,0.86,0.66,0.35,0.15,0.18
282,0.82,0.82,0.6,0.34,0.17,0.18
283,0.86,0.77,0.53,0.34,0.19,0.18
284,0.88,0.73,0.47,0.33,0.22,0.18
285,0.92,0.75,0.52,0.35,0.24,0.22
286,0.94,0.78,0.58,0.38,0.26,0.26
287,0.94,0.82,0.64,0.4,0.29,0.3
