Time,0,1,2,3,4,5
0,0.33,0.28,0.18,0.16,0.16,0.19
1,0.34,0.25,0.17,0.16,0.18,0.18
2,0.35,0.25,0.18,0.18,0.23,0.19
3,0.34,0.24,0.18,0.2,0.19,0.18
4,0.35,0.25,0.21,0.22,0.17,0.18
5,0.4,0.28,0.27,0.26,0.17,0.18
6,0.41,0.28,0.23,0.19,0.18,0.17
7,0.45,0.31,0.22,0.14,0.23,0.16
8,0.51,0.36,0.23,0.13,0.3,0.15
9,0.54,0.42,0.26,0.1,0.24,0.1
10,0.58,0.48,0.31,0.11,0.21,0.07
11,0.62,0.54,0.4,0.17,0.19,0.06
12,0.57,0.48,0.3,0.12,0.11,0.03
13,0.51,0.42,0.22,0.09,0.06,0.02
14,0.47,0.37,0.18,0.07,0.03,0.02
15,0.4,0.29,0.13,0.06,0.03,0.02
16,0.34,0.21,0.1,0.06,0.04,0.02
17,0.28,0.15,0.07,0.07,0.05,0.02
18,0.27,0.12,0.06,0.08,0.08,0.03
19,0.28,0.11,0.07,0.09,0.14,0.06
20,0.29,0.12,0.08,0.12,0.21,0.09
21,0.32,0.07,0.08,0.11,0.23,0.1
22,0.36,0.05,0.1,0.11,0.25,0.11
23,0.41,0.04,0.14,0.13,0.28,0.14
24,0.34,0.04,0.1,0.1,0.22,0.1
25,0.29,0.05,0.08,0.08,0.18,0.08
26,0.26,0.09,0.09,0.07,0.14,0.06
27,0.21,0.1,0.07,0.05,0.12,0.06
28,0.17,0.13,0.07,0.05,0.1,0.05
29,0.14,0.19,0.07,0.04,0.09,0.04
30,0.15,0.19,0.07,0.04,0.08,0.04
31,0.16,0.21,0.07,0.04,0.07,0.03
32,0.18,0.23,0.1,0.04,0.06,0.03
33,0.2,0.2,0.13,0.05,0.07,0.03
34,0.23,0.17,0.18,0.05,0.08,0.03
35,0.28,0.16,0.29,0.06,0.09,0.04
36,0.2,0.08,0.2,0.02,0.1,0.02
37,0.15,0.05,0.16,0.0,0.1,0.03
38,0.12,0.09,0.16,0.0,0.1,0.03
39,0.11,0.08,0.11,0.0,0.06,0.02
40,0.1,0.07,0.08,0.0,0.04,0.01
41,0.1,0.06,0.06,0.02,0.03,0.02
42,0.12,0.1,0.09,0.03,0.06,0.03
43,0.14,0.13,0.13,0.05,0.11,0.04
44,0.17,0.19,0.18,0.07,0.18,0.06
45,0.19,0.15,0.19,0.11,0.25,0.11
46,0.23,0.13,0.21,0.18,0.34,0.19
47,0.29,0.12,0.24,0.26,0.42,0.28
48,0.3,0.11,0.23,0.26,0.43,0.29
49,0.35,0.11,0.24,0.27,0.43,0.3
50,0.42,0.14,0.26,0.29,0.43,0.32
51,0.43,0.18,0.25,0.31,0.44,0.33
52,0.45,0.24,0.25,0.33,0.45,0.34
53,0.48,0.32,0.25,0.36,0.46,0.35
54,0.47,0.37,0.25,0.42,0.48,0.36
55,0.48,0.42,0.26,0.46,0.48,0.36
56,0.51,0.48,0.27,0.48,0.49,0.37
57,0.49,0.57,0.3,0.49,0.49,0.37
58,0.49,0.62,0.33,0.49,0.49,0.37
59,0.49,0.66,0.36,0.49,0.49,0.37
60,0.51,0.67,0.36,0.49,0.49,0.36
61,0.53,0.71,0.36,0.49,0.48,0.36
62,0.57,0.76,0.37,0.49,0.48,0.36
63,0.57,0.76,0.34,0.49,0.46,0.36
64,0.57,0.75,0.32,0.49,0.44,0.35
65,0.58,0.74,0.31,0.48,0.43,0.33
66,0.62,0.73,0.34,0.48,0.45,0.33
67,0.67,0.72,0.4,0.48,0.47,0.33
68,0.71,0.71,0.47,0.48,0.48,0.32
69,0.74,0.71,0.48,0.48,0.47,0.31
70,0.77,0.72,0.52,0.48,0.45,0.3
71,0.8,0.73,0.57,0.48,0.44,0.29
72,0.81,0.64,0.46,0.45,0.41,0.26
73,0.82,0.57,0.37,0.38,0.37,0.24
