Type,allowed_to_establish,is existing,is_thermal,is_VRE,Density (MW/km2),CAPEX($/kw),FOM ($/kW-yr),VOM ($/MWh),Heat Rate (MMBtu/MWh),Lifetime (year),Hourly Ramp rate (%)
CCGT,1,0,1,0,-1,1199.2,28,1.736,6.363,30,1
solar-UPV,1,0,0,1,24,1186.4,19.2,0,0,30,
wind-onshore,1,0,0,1,3,1332.8,25.6,0,0,30,
