Type,allowed_to_establish,is existing,is_thermal,is_VRE,Density (MW/km2),CAPEX($/kw),FOM ($/kW-yr),VOM ($/MWh),Heat Rate (MMBtu/MWh),Lifetime (year),Hourly Ramp rate (%)
CCGT,1,0,1,0,-1,1349.1,31.5,1.953,6.363,30,1
solar-UPV,1,0,0,1,24,1334.7,21.6,0,0,30,
wind-onshore,1,0,0,1,3,1499.4,28.8,0,0,30,
