Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,0.0,0.0,0.0,0.0,0.08,0.49,0.65,0.35,0.08,0.86,0.43,0.55,0.14,0.0,0.34,0.34,0.12
1,0.0,0.0,0.0,0.0,0.14,0.54,0.71,0.4,0.08,0.88,0.48,0.63,0.19,0.0,0.42,0.48,0.14
2,0.0,0.0,0.0,0.0,0.22,0.6,0.76,0.51,0.09,0.9,0.52,0.7,0.26,0.0,0.47,0.66,0.16
3,0.0,0.0,0.0,0.0,0.23,0.72,0.75,0.5,0.1,0.9,0.5,0.7,0.3,0.0,0.47,0.61,0.16
4,0.0,0.0,0.0,0.0,0.24,0.85,0.75,0.49,0.13,0.9,0.5,0.72,0.35,0.0,0.47,0.56,0.17
5,0.0,0.0,0.0,0.0,0.26,0.93,0.76,0.5,0.18,0.9,0.55,0.76,0.4,0.0,0.47,0.52,0.18
6,0.0,0.0,0.0,0.0,0.28,0.93,0.81,0.53,0.28,0.9,0.58,0.79,0.4,0.0,0.48,0.61,0.2
7,0.0,0.0,0.0,0.0,0.3,0.93,0.86,0.58,0.42,0.9,0.64,0.81,0.42,0.0,0.48,0.71,0.22
8,0.0,0.0,0.0,0.0,0.31,0.93,0.91,0.64,0.59,0.91,0.68,0.84,0.43,0.0,0.49,0.81,0.23
9,0.0,0.0,0.0,0.0,0.32,0.96,0.95,0.68,0.54,0.91,0.77,0.86,0.45,0.0,0.49,0.88,0.24
10,0.0,0.0,0.0,0.0,0.32,0.98,0.96,0.72,0.5,0.91,0.84,0.88,0.48,0.0,0.49,0.93,0.24
11,0.0,0.0,0.0,0.0,0.33,0.98,0.98,0.77,0.47,0.91,0.9,0.9,0.48,0.0,0.49,0.96,0.24
12,0.0,0.0,0.0,0.0,0.33,0.98,0.96,0.74,0.32,0.91,0.85,0.9,0.48,0.0,0.49,0.93,0.24
13,0.0,0.0,0.0,0.0,0.33,0.98,0.94,0.72,0.22,0.91,0.8,0.88,0.48,0.0,0.49,0.88,0.24
14,0.0,0.0,0.0,0.0,0.33,0.98,0.91,0.7,0.14,0.91,0.76,0.87,0.48,0.0,0.49,0.81,0.24
15,0.0,0.0,0.0,0.0,0.33,0.96,0.88,0.71,0.15,0.91,0.76,0.85,0.48,0.0,0.49,0.73,0.24
16,0.0,0.0,0.0,0.0,0.33,0.9,0.84,0.72,0.18,0.91,0.74,0.84,0.48,0.0,0.49,0.67,0.24
17,0.0,0.0,0.0,0.0,0.33,0.8,0.81,0.74,0.23,0.91,0.68,0.83,0.47,0.0,0.49,0.65,0.24
18,0.0,0.0,0.0,0.0,0.33,0.74,0.66,0.72,0.22,0.91,0.52,0.77,0.45,0.0,0.4,0.47,0.23
19,0.0,0.0,0.0,0.0,0.33,0.72,0.51,0.72,0.25,0.87,0.46,0.74,0.42,0.0,0.22,0.4,0.21
20,0.0,0.0,0.0,0.0,0.33,0.76,0.43,0.75,0.32,0.7,0.5,0.72,0.4,0.0,0.14,0.44,0.18
21,0.0,0.0,0.0,0.0,0.32,0.28,0.21,0.78,0.4,0.42,0.43,0.56,0.31,0.0,0.12,0.44,0.12
22,0.0,0.0,0.0,0.0,0.21,0.32,0.38,0.8,0.51,0.26,0.59,0.51,0.3,0.0,0.25,0.78,0.12
23,0.0,0.0,0.0,0.0,0.1,0.84,0.9,0.8,0.62,0.27,0.81,0.59,0.38,0.0,0.48,0.98,0.17
24,0.0,0.0,0.0,0.0,0.09,0.84,0.98,0.68,0.42,0.26,0.74,0.39,0.47,0.0,0.49,0.98,0.23
25,0.0,0.0,0.0,0.0,0.23,0.84,0.98,0.59,0.5,0.54,0.69,0.32,0.49,0.0,0.49,0.98,0.24
26,0.0,0.0,0.0,0.0,0.33,0.84,0.98,0.51,0.75,0.84,0.66,0.31,0.49,0.0,0.49,0.98,0.24
27,0.0,0.0,0.0,0.0,0.33,0.98,0.98,0.37,0.84,0.9,0.9,0.62,0.49,0.0,0.49,0.98,0.24
28,0.0,0.0,0.0,0.0,0.33,0.98,0.98,0.48,0.93,0.91,0.98,0.98,0.49,0.0,0.49,0.98,0.24
29,0.0,0.0,0.0,0.0,0.33,0.98,0.98,0.74,0.96,0.91,0.98,0.98,0.49,0.0,0.49,0.98,0.24
30,0.0,0.0,0.0,0.0,0.33,0.98,0.98,0.67,0.98,0.91,0.98,0.98,0.49,0.0,0.49,0.98,0.24
31,0.0,0.0,0.0,0.0,0.33,0.98,0.98,0.69,0.98,0.91,0.98,0.98,0.49,0.0,0.49,0.98,0.24
32,0.0,0.0,0.0,0.0,0.33,0.98,0.98,0.83,0.98,0.91,0.98,0.98,0.49,0.0,0.49,0.98,0.24
33,0.0,0.0,0.0,0.0,0.33,0.98,0.98,0.9,0.98,0.91,0.98,0.98,0.49,0.0,0.49,0.98,0.24
34,0.0,0.0,0.0,0.0,0.33,0.98,0.98,0.98,0.98,0.91,0.98,0.98,0.49,0.0,0.49,0.98,0.24
35,0.0,0.0,0.0,0.0,0.33,0.98,0.98,0.98,0.98,0.91,0.98,0.98,0.49,0.0,0.49,0.98,0.24
36,0.0,0.0,0.0,0.0,0.33,0.98,0.98,0.98,0.98,0.91,0.98,0.98,0.49,0.0,0.49,0.98,0.24
37,0.0,0.0,0.0,0.0,0.33,0.98,0.98,0.98,0.98,0.91,0.98,0.98,0.49,0.0,0.49,0.98,0.24
38,0.0,0.0,0.0,0.0,0.33,0.98,0.98,0.98,0.98,0.91,0.98,0.98,0.49,0.0,0.49,0.98,0.24
39,0.0,0.0,0.0,0.0,0.33,0.98,0.98,0.98,0.98,0.91,0.98,0.98,0.49,0.0,0.49,0.98,0.24
40,0.0,0.0,0.0,0.0,0.33,0.98,0.98,0.98,0.98,0.91,0.98,0.98,0.49,0.0,0.49,0.98,0.24
41,0.0,0.0,0.0,0.0,0.33,0.98,0.98,0.98,0.98,0.91,0.98,0.98,0.49,0.0,0.49,0.98,0.24
42,0.0,0.0,0.0,0.0,0.33,0.98,0.98,0.98,0.98,0.9,0.98,0.98,0.49,0.0,0.49,0.98,0.24
43,0.0,0.0,0.0,0.0,0.33,0.98,0.98,0.98,0.98,0.9,0.98,0.98,0.49,0.0,0.49,0.98,0.24
44,0.0,0.0,0.0,0.0,0.33,0.97,0.98,0.98,0.98,0.9,0.98,0.98,0.49,0.0,0.49,0.98,0.24
45,0.0,0.0,0.0,0.0,0.33,0.97,0.98,0.98,0.98,0.91,0.98,0.98,0.49,0.0,0.49,0.98,0.24
46,0.0,0.0,0.0,0.0,0.33,0.98,0.98,0.98,0.98,0.91,0.98,0.98,0.49,0.0,0.49,0.96,0.24
47,0.0,0.0,0.0,0.0,0.33,0.98,0.98,0.98,0.98,0.91,0.98,0.98,0.49,0.0,0.49,0.9,0.24
48,0.0,0.0,0.0,0.0,0.33,0.98,0.96,0.98,0.98,0.91,0.98,0.98,0.49,0.0,0.46,0.83,0.24
49,0.0,0.0,0.0,0.0,0.32,0.98,0.9,0.98,0.98,0.9,0.98,0.98,0.49,0.0,0.4,0.8,0.24
50,0.0,0.0,0.0,0.0,0.32,0.98,0.74,0.98,0.98,0.9,0.98,0.98,0.48,0.0,0.36,0.84,0.24
51,0.0,0.0,0.0,0.0,0.3,0.98,0.8,0.98,0.98,0.82,0.98,0.98,0.4,0.0,0.38,0.88,0.2
52,0.0,0.0,0.0,0.0,0.28,0.98,0.85,0.98,0.98,0.66,0.98,0.98,0.24,0.0,0.4,0.91,0.15
53,0.0,0.0,0.0,0.0,0.23,0.97,0.89,0.97,0.96,0.48,0.98,0.98,0.12,0.0,0.44,0.95,0.09
54,0.0,0.0,0.0,0.0,0.24,0.96,0.58,0.96,0.97,0.14,0.96,0.92,0.16,0.0,0.26,0.76,0.1
55,0.0,0.0,0.0,0.0,0.25,0.92,0.3,0.94,0.97,0.02,0.76,0.56,0.25,0.0,0.18,0.54,0.12
56,0.0,0.0,0.0,0.0,0.26,0.89,0.19,0.9,0.95,0.06,0.54,0.39,0.38,0.0,0.19,0.44,0.16
57,0.0,0.0,0.0,0.0,0.25,0.44,0.12,0.9,0.94,0.04,0.38,0.26,0.34,0.0,0.18,0.45,0.12
58,0.0,0.0,0.0,0.0,0.24,0.31,0.11,0.91,0.93,0.04,0.32,0.2,0.32,0.0,0.2,0.52,0.1
59,0.0,0.0,0.0,0.0,0.25,0.54,0.14,0.91,0.92,0.07,0.33,0.2,0.31,0.0,0.26,0.62,0.08
60,0.0,0.0,0.0,0.0,0.25,0.64,0.15,0.8,0.79,0.15,0.3,0.19,0.28,0.0,0.28,0.4,0.08
61,0.0,0.0,0.0,0.0,0.26,0.75,0.23,0.71,0.55,0.38,0.33,0.24,0.26,0.0,0.31,0.25,0.09
62,0.0,0.0,0.0,0.0,0.28,0.86,0.38,0.63,0.34,0.7,0.44,0.38,0.24,0.0,0.35,0.18,0.09
63,0.0,0.0,0.0,0.0,0.21,0.6,0.34,0.44,0.18,0.74,0.28,0.29,0.17,0.0,0.28,0.13,0.06
64,0.0,0.0,0.0,0.0,0.15,0.38,0.31,0.3,0.09,0.79,0.17,0.24,0.11,0.0,0.21,0.1,0.04
65,0.0,0.0,0.0,0.0,0.11,0.22,0.3,0.25,0.03,0.84,0.1,0.22,0.07,0.0,0.18,0.08,0.02
66,0.0,0.0,0.0,0.0,0.07,0.13,0.25,0.26,0.02,0.84,0.06,0.2,0.05,0.0,0.15,0.07,0.02
67,0.0,0.0,0.0,0.0,0.03,0.06,0.21,0.29,0.02,0.84,0.04,0.2,0.04,0.0,0.12,0.06,0.02
68,0.0,0.0,0.0,0.0,0.02,0.0,0.18,0.33,0.03,0.84,0.0,0.21,0.02,0.0,0.11,0.06,0.01
69,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.34,0.02,0.84,0.02,0.21,0.0,0.0,0.12,0.08,0.0
70,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.37,0.01,0.84,0.04,0.23,0.0,0.0,0.13,0.11,0.0
71,0.0,0.0,0.0,0.0,0.0,0.04,0.34,0.43,0.0,0.85,0.08,0.26,0.0,0.0,0.14,0.14,0.0
72,0.0,0.0,0.0,0.0,0.0,0.04,0.29,0.39,0.0,0.82,0.06,0.22,0.0,0.0,0.14,0.12,0.0
73,0.0,0.0,0.0,0.0,0.0,0.06,0.24,0.39,0.0,0.79,0.08,0.2,0.0,0.0,0.14,0.09,0.0
74,0.0,0.0,0.0,0.0,0.0,0.09,0.2,0.43,0.02,0.75,0.08,0.2,0.02,0.0,0.13,0.07,0.01
75,0.0,0.0,0.0,0.0,0.0,0.14,0.19,0.38,0.02,0.68,0.1,0.19,0.03,0.0,0.16,0.11,0.02
76,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.32,0.02,0.59,0.11,0.2,0.04,0.0,0.2,0.15,0.04
77,0.0,0.0,0.0,0.0,0.0,0.29,0.23,0.28,0.04,0.5,0.12,0.21,0.06,0.0,0.24,0.2,0.06
78,0.0,0.0,0.0,0.0,0.02,0.32,0.36,0.25,0.03,0.55,0.18,0.28,0.11,0.0,0.38,0.33,0.08
