Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.7,0.39,0.45,0.12,0.39,0.05,0.0,0.02,0.0,0.02
1,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.73,0.4,0.36,0.06,0.33,0.06,0.0,0.02,0.0,0.02
2,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.77,0.43,0.31,0.05,0.32,0.1,0.0,0.02,0.05,0.05
3,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.77,0.42,0.24,0.02,0.29,0.04,0.0,0.02,0.06,0.03
4,0.0,0.0,0.0,0.0,0.0,0.07,0.04,0.78,0.46,0.17,0.02,0.27,0.02,0.0,0.02,0.07,0.02
5,0.0,0.0,0.0,0.0,0.0,0.12,0.07,0.79,0.54,0.12,0.02,0.27,0.03,0.0,0.02,0.1,0.02
6,0.0,0.0,0.0,0.0,0.01,0.14,0.09,0.8,0.46,0.1,0.03,0.28,0.04,0.0,0.03,0.1,0.02
7,0.0,0.0,0.0,0.0,0.01,0.15,0.11,0.8,0.42,0.09,0.05,0.29,0.07,0.0,0.04,0.12,0.04
8,0.0,0.0,0.0,0.0,0.01,0.17,0.14,0.81,0.41,0.1,0.08,0.32,0.11,0.0,0.06,0.14,0.06
9,0.0,0.0,0.0,0.0,0.03,0.2,0.18,0.8,0.43,0.09,0.1,0.29,0.14,0.0,0.06,0.13,0.07
10,0.0,0.0,0.0,0.0,0.04,0.24,0.22,0.81,0.5,0.1,0.14,0.27,0.18,0.0,0.06,0.13,0.08
11,0.0,0.0,0.0,0.0,0.07,0.28,0.27,0.83,0.62,0.12,0.22,0.27,0.22,0.0,0.06,0.12,0.1
12,0.0,0.0,0.0,0.0,0.04,0.25,0.26,0.77,0.68,0.09,0.2,0.24,0.16,0.0,0.07,0.14,0.07
13,0.0,0.0,0.0,0.0,0.03,0.23,0.24,0.69,0.74,0.07,0.24,0.25,0.12,0.0,0.08,0.16,0.06
