Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,0.0,0.0,0.0,0.0,0.33,0.98,0.98,0.98,0.98,0.91,0.98,0.98,0.49,0.0,0.49,0.98,0.24
1,0.0,0.0,0.0,0.0,0.33,0.98,0.98,0.98,0.98,0.91,0.98,0.98,0.49,0.0,0.49,0.98,0.24
2,0.0,0.0,0.0,0.0,0.33,0.97,0.98,0.98,0.97,0.91,0.98,0.98,0.49,0.0,0.49,0.98,0.24
3,0.0,0.0,0.0,0.0,0.33,0.95,0.98,0.98,0.96,0.91,0.98,0.98,0.48,0.0,0.49,0.98,0.24
4,0.0,0.0,0.0,0.0,0.33,0.9,0.98,0.98,0.95,0.91,0.98,0.98,0.48,0.0,0.49,0.98,0.24
5,0.0,0.0,0.0,0.0,0.33,0.82,0.98,0.98,0.94,0.91,0.98,0.98,0.48,0.0,0.49,0.98,0.23
6,0.0,0.0,0.0,0.0,0.33,0.9,0.98,0.97,0.94,0.91,0.98,0.98,0.44,0.0,0.49,0.98,0.2
7,0.0,0.0,0.0,0.0,0.33,0.96,0.98,0.96,0.96,0.91,0.98,0.98,0.41,0.0,0.49,0.98,0.16
8,0.0,0.0,0.0,0.0,0.33,0.98,0.98,0.94,0.94,0.9,0.98,0.98,0.39,0.0,0.49,0.98,0.13
9,0.0,0.0,0.0,0.0,0.31,0.98,0.98,0.93,0.85,0.89,0.98,0.98,0.38,0.0,0.49,0.98,0.16
10,0.0,0.0,0.0,0.0,0.23,0.98,0.98,0.89,0.79,0.9,0.98,0.98,0.38,0.0,0.49,0.98,0.18
11,0.0,0.0,0.0,0.0,0.16,0.98,0.98,0.85,0.75,0.89,0.98,0.98,0.39,0.0,0.49,0.98,0.21
12,0.0,0.0,0.0,0.0,0.14,0.98,0.98,0.85,0.79,0.9,0.98,0.98,0.32,0.0,0.49,0.98,0.14
13,0.0,0.0,0.0,0.0,0.13,0.98,0.98,0.86,0.88,0.91,0.98,0.98,0.25,0.0,0.49,0.98,0.08
14,0.0,0.0,0.0,0.0,0.12,0.98,0.98,0.89,0.98,0.91,0.98,0.98,0.18,0.0,0.49,0.98,0.04
15,0.0,0.0,0.0,0.0,0.19,0.98,0.98,0.95,0.98,0.91,0.98,0.98,0.3,0.0,0.49,0.98,0.1
16,0.0,0.0,0.0,0.0,0.28,0.98,0.98,0.98,0.98,0.91,0.98,0.97,0.44,0.0,0.49,0.98,0.19
17,0.0,0.0,0.0,0.0,0.32,0.98,0.98,0.98,0.98,0.91,0.98,0.92,0.48,0.0,0.49,0.98,0.24
18,0.0,0.0,0.0,0.0,0.3,0.98,0.98,0.98,0.98,0.91,0.98,0.92,0.48,0.0,0.49,0.98,0.24
19,0.0,0.0,0.0,0.0,0.27,0.98,0.98,0.98,0.98,0.9,0.98,0.92,0.46,0.0,0.49,0.98,0.22
20,0.0,0.0,0.0,0.0,0.26,0.98,0.98,0.98,0.98,0.89,0.96,0.92,0.45,0.0,0.49,0.98,0.22
21,0.0,0.0,0.0,0.0,0.26,0.95,0.98,0.97,0.98,0.86,0.97,0.97,0.4,0.0,0.49,0.98,0.2
22,0.0,0.0,0.0,0.0,0.27,0.86,0.96,0.97,0.98,0.82,0.97,0.98,0.34,0.0,0.49,0.98,0.18
