,line_num,from_node,to_node,capacity_MW,distance_mile
0,0,1,0,29458,26.2
1,1,3,0,15573,22.75
2,2,4,0,24460,36.142857142857146
3,3,5,0,1379,36.0
4,4,6,0,25210,41.357142857142854
5,5,7,0,38246,49.58064516129032
6,6,8,0,32316,28.818181818181817
7,7,9,0,24694,32.714285714285715
8,8,10,0,6818,36.0
9,9,11,0,35667,39.03703703703704
10,10,12,0,6140,11.333333333333334
11,11,13,0,12234,30.0
12,12,14,0,3230,38.333333333333336
13,13,15,0,24165,21.6
14,14,16,0,26299,26.9
